Lisboa	Ajuda
Lisboa	Alcântara
Lisboa	Alvalade
Lisboa	Areeiro
Lisboa	Arroios
Lisboa	Avenidas Novas
Lisboa	Beato
Lisboa	Belém
Lisboa	Benfica
Lisboa	Campo de Ourique
Lisboa	Campolide
Lisboa	Carnide
Lisboa	Estrela
Lisboa	Lumiar
Lisboa	Marvila
Lisboa	Misericórdia
Lisboa	Olivais
Lisboa	Parque das Nações
Lisboa	Penha de França
Lisboa	Santa Clara
Lisboa	Santa Maria Maior
Lisboa	Santo António
Lisboa	São Domingos de Benfica
Lisboa	São Vicente
Amadora	Águas Livres
Amadora	Alfragide
Amadora	Encosta do Sol
Amadora	Falagueira-Venda Nova
Amadora	Mina de Água
Amadora	Venteira
Odivelas	Odivelas
Odivelas	Pontinha e Famões
Odivelas	Póvoa de Santo Adrião e Olival Basto
Odivelas	Ramada e Caneças
Sintra	Agualva e Mira-Sintra
Sintra	Algueirão-Mem Martins
Sintra	Almargem do Bispo, Pero Pinheiro e Montelavar
Sintra	Cacém e São Marcos
Sintra	Casal de Cambra
Sintra	Colares
Sintra	Massamá e Monte Abraão
Sintra	Queluz e Belas
Sintra	Rio de Mouro
Sintra	São João das Lampas e Terrugem
Sintra	Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)
Cascais	Alcabideche
Cascais	Carcavelos e Parede
Cascais	Cascais e Estoril
Cascais	São Domingos de Rana
Oeiras	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
Oeiras	Barcarena
Oeiras	Carnaxide e Queijas
Oeiras	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
Oeiras	Porto Salvo
Loures	Bucelas
Loures	Camarate, Unhos e Apelação
Loures	Fanhões
Loures	Loures
Loures	Lousa
Loures	Moscavide e Portela
Loures	Sacavém e Prior Velho
Loures	Santa Iria de Azoia, São João da Talha e Bobadela
Loures	Santo Antão e São Julião do Tojal
Loures	Santo António dos Cavaleiros e Frielas
Almada	Almada, Cova da Piedade, Pragal e Cacilhas
Almada	Caparica e Trafaria
Almada	Charneca de Caparica e Sobreda
Almada	Costa da Caparica
Almada	Laranjeiro e Feijó
Porto	Aldoar, foz do Douro e Nevogilde
Porto	Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória
Porto	Lordelo do Ouro e Massarelos
Porto	Bonfim
Porto	Campanhã
Porto	Paranhos
Valongo	Alfena
Valongo	Ermesinde
Valongo	Valongo
Valongo	Campo e Sobrado - Campo
Valongo	Campo e Sobrado - Sobrado
Maia	Aguas santas
Maia	Castêlo da Maia
Maia	Folgosa
Maia	Milheirós
Maia	Moreira
Maia	Nogueira e Silva Escura
Maia	Pedrouços
Maia	S. Pedro Fins
Maia	Vila Nova da Telha
Maia	Cidade da Maia
Paredes	Sobreira
Paredes	Aguiar de Sousa
Paredes	Astromil
Paredes	Baltar
Paredes	Beire
Paredes	Cete
Paredes	Cristelo
Paredes	Duas igrejas
Paredes	Grandra
Paredes	Lordelo
Paredes	Louredo
Paredes	Parada de Todeia
Paredes	Paredes
Paredes	Rebordosa
Paredes	Recarei
Paredes	Sobrosa
Paredes	Vandoma
Paredes	Vilela
Matosinhos	Custóias, Leça do Balio e Guifões
Matosinhos	Matosinhos e Leça da Palmeira
Matosinhos	Perafita, Lavra e Santa Cruz do Bispo
Matosinhos	São Mamede de Infesta e Senhora da Hora
Vila do Conde	Árvore
Vila do Conde	Aveleda
Vila do Conde	Azurara
Vila do Conde	Bagunte, Ferreiró, Outeiro Maior e Parada
Vila do Conde	Fajozes
Vila do Conde	Fornelo e Vairão
Vila do Conde	Gião
Vila do Conde	Guilhabreu
Vila do Conde	Junqueira
Vila do Conde	Labruge
Vila do Conde	Macieira da Maia
Vila do Conde	Malta e Canidelo
Vila do Conde	Mindelo
Vila do Conde	Modivas
Vila do Conde	Retorta e Tougues
Vila do Conde	Rio Mau e Arcos
Vila do Conde	Touguinha e Touguinhó
Vila do Conde	Vila Chã
Vila do Conde	Vila do Conde
Vila do Conde	Vilar de Pinheiro
Vila do Conde	Vilar e Mosteiró
Trofa	Alvarelhos e Guidões
Trofa	Bougado (São Martinho e Santiago)
Trofa	Coronado (São Romão e São Mamede)
Trofa	Covelas
Trofa	Muro
Santo Tirso	Agrela
Santo Tirso	Água Longa
Santo Tirso	Areias, Sequeiró, Lama e Palmeira
Santo Tirso	Aves
Santo Tirso	Carreira e Refojos de Riba de Ave
